Region,Region Name,Region - RegionId,Variable,Variable Name,Age,Age Name,Scale,Units,2008
KN.A3,Jonglei,SS-JG,KN.B5,"Population, Male (Number)",KN.C14,60 to 64,units,Persons,12706
KN.A3,Jonglei,SS-JG,KN.B5,"Population, Male (Number)",KN.C22,65+,units,Persons,22658
KN.A3,Jonglei,SS-JG,KN.B8,"Population, Female (Number)",KN.C1,Total,units,Persons,624275
KN.A3,Jonglei,SS-JG,KN.B8,"Population, Female (Number)",KN.C2,0 to 4,units,Persons,91618
KN.A3,Jonglei,SS-JG,KN.B8,"Population, Female (Number)",KN.C3,5 to 9,units,Persons,94236
KN.A3,Jonglei,SS-JG,KN.B8,"Population, Female (Number)",KN.C4,10 to 14,units,Persons,77792
KN.A3,Jonglei,SS-JG,KN.B8,"Population, Female (Number)",KN.C5,15 to 19,units,Persons,65402
KN.A3,Jonglei,SS-JG,KN.B8,"Population, Female (Number)",KN.C6,20 to 24,units,Persons,59839
KN.A3,Jonglei,SS-JG,KN.B8,"Population, Female (Number)",KN.C7,25 to 29,units,Persons,56785
KN.A3,Jonglei,SS-JG,KN.B8,"Population, Female (Number)",KN.C8,30 to 34,units,Persons,47569
KN.A3,Jonglei,SS-JG,KN.B8,"Population, Female (Number)",KN.C9,35 to 39,units,Persons,37662
KN.A3,Jonglei,SS-JG,KN.B8,"Population, Female (Number)",KN.C10,40 to 44,units,Persons,29309
KN.A3,Jonglei,SS-JG,KN.B8,"Population, Female (Number)",KN.C11,45 to 49,units,Persons,20227
KN.A3,Jonglei,SS-JG,KN.B8,"Population, Female (Number)",KN.C12,50 to 54,units,Persons,15728
KN.A3,Jonglei,SS-JG,KN.B8,"Population, Female (Number)",KN.C13,55 to 59,units,Persons,7769
KN.A3,Jonglei,SS-JG,KN.B8,"Population, Female (Number)",KN.C14,60 to 64,units,Persons,7955
KN.A3,Jonglei,SS-JG,KN.B8,"Population, Female (Number)",KN.C22,65+,units,Persons,12384
KN.A4,Unity,SS-UY,KN.B2,"Population, Total (Number)",KN.C1,Total,units,Persons,585801
KN.A4,Unity,SS-UY,KN.B2,"Population, Total (Number)",KN.C2,0 to 4,units,Persons,108357
KN.A4,Unity,SS-UY,KN.B2,"Population, Total (Number)",KN.C3,5 to 9,units,Persons,99604
KN.A4,Unity,SS-UY,KN.B2,"Population, Total (Number)",KN.C4,10 to 14,units,Persons,76111
KN.A4,Unity,SS-UY,KN.B2,"Population, Total (Number)",KN.C5,15 to 19,units,Persons,59342
KN.A4,Unity,SS-UY,KN.B2,"Population, Total (Number)",KN.C6,20 to 24,units,Persons,49849
KN.A4,Unity,SS-UY,KN.B2,"Population, Total (Number)",KN.C7,25 to 29,units,Persons,45101
KN.A4,Unity,SS-UY,KN.B2,"Population, Total (Number)",KN.C8,30 to 34,units,Persons,34200
KN.A4,Unity,SS-UY,KN.B2,"Population, Total (Number)",KN.C9,35 to 39,units,Persons,28967
KN.A4,Unity,SS-UY,KN.B2,"Population, Total (Number)",KN.C10,40 to 44,units,Persons,20504
KN.A4,Unity,SS-UY,KN.B2,"Population, Total (Number)",KN.C11,45 to 49,units,Persons,17887
KN.A4,Unity,SS-UY,KN.B2,"Population, Total (Number)",KN.C12,50 to 54,units,Persons,12904
KN.A4,Unity,SS-UY,KN.B2,"Population, Total (Number)",KN.C13,55 to 59,units,Persons,8077
KN.A4,Unity,SS-UY,KN.B2,"Population, Total (Number)",KN.C14,60 to 64,units,Persons,8098
KN.A4,Unity,SS-UY,KN.B2,"Population, Total (Number)",KN.C22,65+,units,Persons,16800
KN.A4,Unity,SS-UY,KN.B5,"Population, Male (Number)",KN.C1,Total,units,Persons,300247
KN.A4,Unity,SS-UY,KN.B5,"Population, Male (Number)",KN.C2,0 to 4,units,Persons,56916
KN.A4,Unity,SS-UY,KN.B5,"Population, Male (Number)",KN.C3,5 to 9,units,Persons,52077
KN.A4,Unity,SS-UY,KN.B5,"Population, Male (Number)",KN.C4,10 to 14,units,Persons,40264
KN.A4,Unity,SS-UY,KN.B5,"Population, Male (Number)",KN.C5,15 to 19,units,Persons,30359
KN.A4,Unity,SS-UY,KN.B5,"Population, Male (Number)",KN.C6,20 to 24,units,Persons,24162
KN.A4,Unity,SS-UY,KN.B5,"Population, Male (Number)",KN.C7,25 to 29,units,Persons,22030
KN.A4,Unity,SS-UY,KN.B5,"Population, Male (Number)",KN.C8,30 to 34,units,Persons,16121
KN.A4,Unity,SS-UY,KN.B5,"Population, Male (Number)",KN.C9,35 to 39,units,Persons,14617
KN.A4,Unity,SS-UY,KN.B5,"Population, Male (Number)",KN.C10,40 to 44,units,Persons,9702
KN.A4,Unity,SS-UY,KN.B5,"Population, Male (Number)",KN.C11,45 to 49,units,Persons,9772
KN.A4,Unity,SS-UY,KN.B5,"Population, Male (Number)",KN.C12,50 to 54,units,Persons,6571
KN.A4,Unity,SS-UY,KN.B5,"Population, Male (Number)",KN.C13,55 to 59,units,Persons,4497
KN.A4,Unity,SS-UY,KN.B5,"Population, Male (Number)",KN.C14,60 to 64,units,Persons,4160
KN.A4,Unity,SS-UY,KN.B5,"Population, Male (Number)",KN.C22,65+,units,Persons,8999
KN.A4,Unity,SS-UY,KN.B8,"Population, Female (Number)",KN.C1,Total,units,Persons,285554
KN.A4,Unity,SS-UY,KN.B8,"Population, Female (Number)",KN.C2,0 to 4,units,Persons,51441
KN.A4,Unity,SS-UY,KN.B8,"Population, Female (Number)",KN.C3,5 to 9,units,Persons,47527
KN.A4,Unity,SS-UY,KN.B8,"Population, Female (Number)",KN.C4,10 to 14,units,Persons,35847
KN.A4,Unity,SS-UY,KN.B8,"Population, Female (Number)",KN.C5,15 to 19,units,Persons,28983
KN.A4,Unity,SS-UY,KN.B8,"Population, Female (Number)",KN.C6,20 to 24,units,Persons,25687
KN.A4,Unity,SS-UY,KN.B8,"Population, Female (Number)",KN.C7,25 to 29,units,Persons,23071
KN.A4,Unity,SS-UY,KN.B8,"Population, Female (Number)",KN.C8,30 to 34,units,Persons,18079
KN.A4,Unity,SS-UY,KN.B8,"Population, Female (Number)",KN.C9,35 to 39,units,Persons,14350
KN.A4,Unity,SS-UY,KN.B8,"Population, Female (Number)",KN.C10,40 to 44,units,Persons,10802
KN.A4,Unity,SS-UY,KN.B8,"Population, Female (Number)",KN.C11,45 to 49,units,Persons,8115
KN.A4,Unity,SS-UY,KN.B8,"Population, Female (Number)",KN.C12,50 to 54,units,Persons,6333
KN.A4,Unity,SS-UY,KN.B8,"Population, Female (Number)",KN.C13,55 to 59,units,Persons,3580
KN.A4,Unity,SS-UY,KN.B8,"Population, Female (Number)",KN.C14,60 to 64,units,Persons,3938
KN.A4,Unity,SS-UY,KN.B8,"Population, Female (Number)",KN.C22,65+,units,Persons,7801
KN.A5,Warrap,SS-WR,KN.B2,"Population, Total (Number)",KN.C1,Total,units,Persons,972928
KN.A5,Warrap,SS-WR,KN.B2,"Population, Total (Number)",KN.C2,0 to 4,units,Persons,169599
KN.A5,Warrap,SS-WR,KN.B2,"Population, Total (Number)",KN.C3,5 to 9,units,Persons,160305
KN.A5,Warrap,SS-WR,KN.B2,"Population, Total (Number)",KN.C4,10 to 14,units,Persons,123695
KN.A5,Warrap,SS-WR,KN.B2,"Population, Total (Number)",KN.C5,15 to 19,units,Persons,95603
KN.A5,Warrap,SS-WR,KN.B2,"Population, Total (Number)",KN.C6,20 to 24,units,Persons,79790
KN.A5,Warrap,SS-WR,KN.B2,"Population, Total (Number)",KN.C7,25 to 29,units,Persons,81025
KN.A5,Warrap,SS-WR,KN.B2,"Population, Total (Number)",KN.C8,30 to 34,units,Persons,61243
KN.A5,Warrap,SS-WR,KN.B2,"Population, Total (Number)",KN.C9,35 to 39,units,Persons,58293
KN.A5,Warrap,SS-WR,KN.B2,"Population, Total (Number)",KN.C10,40 to 44,units,Persons,38184
KN.A5,Warrap,SS-WR,KN.B2,"Population, Total (Number)",KN.C11,45 to 49,units,Persons,33469
KN.A5,Warrap,SS-WR,KN.B2,"Population, Total (Number)",KN.C12,50 to 54,units,Persons,21800
KN.A5,Warrap,SS-WR,KN.B2,"Population, Total (Number)",KN.C13,55 to 59,units,Persons,14709
KN.A5,Warrap,SS-WR,KN.B2,"Population, Total (Number)",KN.C14,60 to 64,units,Persons,12243
KN.A5,Warrap,SS-WR,KN.B2,"Population, Total (Number)",KN.C22,65+,units,Persons,22970
KN.A5,Warrap,SS-WR,KN.B5,"Population, Male (Number)",KN.C1,Total,units,Persons,470734
KN.A5,Warrap,SS-WR,KN.B5,"Population, Male (Number)",KN.C2,0 to 4,units,Persons,86690
KN.A5,Warrap,SS-WR,KN.B5,"Population, Male (Number)",KN.C3,5 to 9,units,Persons,81314
KN.A5,Warrap,SS-WR,KN.B5,"Population, Male (Number)",KN.C4,10 to 14,units,Persons,62850
KN.A5,Warrap,SS-WR,KN.B5,"Population, Male (Number)",KN.C5,15 to 19,units,Persons,44951
KN.A5,Warrap,SS-WR,KN.B5,"Population, Male (Number)",KN.C6,20 to 24,units,Persons,34342
KN.A5,Warrap,SS-WR,KN.B5,"Population, Male (Number)",KN.C7,25 to 29,units,Persons,34624
KN.A5,Warrap,SS-WR,KN.B5,"Population, Male (Number)",KN.C8,30 to 34,units,Persons,25922
KN.A5,Warrap,SS-WR,KN.B5,"Population, Male (Number)",KN.C9,35 to 39,units,Persons,27252
KN.A5,Warrap,SS-WR,KN.B5,"Population, Male (Number)",KN.C10,40 to 44,units,Persons,18350
KN.A5,Warrap,SS-WR,KN.B5,"Population, Male (Number)",KN.C11,45 to 49,units,Persons,17408
KN.A5,Warrap,SS-WR,KN.B5,"Population, Male (Number)",KN.C12,50 to 54,units,Persons,10819
KN.A5,Warrap,SS-WR,KN.B5,"Population, Male (Number)",KN.C13,55 to 59,units,Persons,7694
KN.A5,Warrap,SS-WR,KN.B5,"Population, Male (Number)",KN.C14,60 to 64,units,Persons,6173
KN.A5,Warrap,SS-WR,KN.B5,"Population, Male (Number)",KN.C22,65+,units,Persons,12345
KN.A5,Warrap,SS-WR,KN.B8,"Population, Female (Number)",KN.C1,Total,units,Persons,502194
KN.A5,Warrap,SS-WR,KN.B8,"Population, Female (Number)",KN.C2,0 to 4,units,Persons,82909
KN.A5,Warrap,SS-WR,KN.B8,"Population, Female (Number)",KN.C3,5 to 9,units,Persons,78991
KN.A5,Warrap,SS-WR,KN.B8,"Population, Female (Number)",KN.C4,10 to 14,units,Persons,60845
KN.A5,Warrap,SS-WR,KN.B8,"Population, Female (Number)",KN.C5,15 to 19,units,Persons,50652
KN.A5,Warrap,SS-WR,KN.B8,"Population, Female (Number)",KN.C6,20 to 24,units,Persons,45448
KN.A5,Warrap,SS-WR,KN.B8,"Population, Female (Number)",KN.C7,25 to 29,units,Persons,46401
KN.A5,Warrap,SS-WR,KN.B8,"Population, Female (Number)",KN.C8,30 to 34,units,Persons,35321
KN.A5,Warrap,SS-WR,KN.B8,"Population, Female (Number)",KN.C9,35 to 39,units,Persons,31041
KN.A5,Warrap,SS-WR,KN.B8,"Population, Female (Number)",KN.C10,40 to 44,units,Persons,19834
KN.A5,Warrap,SS-WR,KN.B8,"Population, Female (Number)",KN.C11,45 to 49,units,Persons,16061
KN.A5,Warrap,SS-WR,KN.B8,"Population, Female (Number)",KN.C12,50 to 54,units,Persons,10981
KN.A5,Warrap,SS-WR,KN.B8,"Population, Female (Number)",KN.C13,55 to 59,units,Persons,7015
KN.A5,Warrap,SS-WR,KN.B8,"Population, Female (Number)",KN.C14,60 to 64,units,Persons,6070
KN.A5,Warrap,SS-WR,KN.B8,"Population, Female (Number)",KN.C22,65+,units,Persons,10625
KN.A6,Northern Bahr el Ghazal,SS-BN,KN.B2,"Population, Total (Number)",KN.C1,Total,units,Persons,720898
KN.A6,Northern Bahr el Ghazal,SS-BN,KN.B2,"Population, Total (Number)",KN.C2,0 to 4,units,Persons,136520
KN.A6,Northern Bahr el Ghazal,SS-BN,KN.B2,"Population, Total (Number)",KN.C3,5 to 9,units,Persons,124955
KN.A6,Northern Bahr el Ghazal,SS-BN,KN.B2,"Population, Total (Number)",KN.C4,10 to 14,units,Persons,82164
KN.A6,Northern Bahr el Ghazal,SS-BN,KN.B2,"Population, Total (Number)",KN.C5,15 to 19,units,Persons,61027
KN.A6,Northern Bahr el Ghazal,SS-BN,KN.B2,"Population, Total (Number)",KN.C6,20 to 24,units,Persons,55209
KN.A6,Northern Bahr el Ghazal,SS-BN,KN.B2,"Population, Total (Number)",KN.C7,25 to 29,units,Persons,55021
KN.A6,Northern Bahr el Ghazal,SS-BN,KN.B2,"Population, Total (Number)",KN.C8,30 to 34,units,Persons,42658
KN.A6,Northern Bahr el Ghazal,SS-BN,KN.B2,"Population, Total (Number)",KN.C9,35 to 39,units,Persons,41334
KN.A6,Northern Bahr el Ghazal,SS-BN,KN.B2,"Population, Total (Number)",KN.C10,40 to 44,units,Persons,28418
KN.A6,Northern Bahr el Ghazal,SS-BN,KN.B2,"Population, Total (Number)",KN.C11,45 to 49,units,Persons,24744
KN.A6,Northern Bahr el Ghazal,SS-BN,KN.B2,"Population, Total (Number)",KN.C12,50 to 54,units,Persons,18501
KN.A6,Northern Bahr el Ghazal,SS-BN,KN.B2,"Population, Total (Number)",KN.C13,55 to 59,units,Persons,12603
KN.A6,Northern Bahr el Ghazal,SS-BN,KN.B2,"Population, Total (Number)",KN.C14,60 to 64,units,Persons,11636
KN.A6,Northern Bahr el Ghazal,SS-BN,KN.B2,"Population, Total (Number)",KN.C22,65+,units,Persons,26108
KN.A6,Northern Bahr el Ghazal,SS-BN,KN.B5,"Population, Male (Number)",KN.C1,Total,units,Persons,348290
KN.A6,Northern Bahr el Ghazal,SS-BN,KN.B5,"Population, Male (Number)",KN.C2,0 to 4,units,Persons,70011
KN.A6,Northern Bahr el Ghazal,SS-BN,KN.B5,"Population, Male (Number)",KN.C3,5 to 9,units,Persons,63300
KN.A6,Northern Bahr el Ghazal,SS-BN,KN.B5,"Population, Male (Number)",KN.C4,10 to 14,units,Persons,42046
KN.A6,Northern Bahr el Ghazal,SS-BN,KN.B5,"Population, Male (Number)",KN.C5,15 to 19,units,Persons,28934
KN.A6,Northern Bahr el Ghazal,SS-BN,KN.B5,"Population, Male (Number)",KN.C6,20 to 24,units,Persons,22604
KN.A6,Northern Bahr el Ghazal,SS-BN,KN.B5,"Population, Male (Number)",KN.C7,25 to 29,units,Persons,22344
KN.A6,Northern Bahr el Ghazal,SS-BN,KN.B5,"Population, Male (Number)",KN.C8,30 to 34,units,Persons,18761
KN.A6,Northern Bahr el Ghazal,SS-BN,KN.B5,"Population, Male (Number)",KN.C9,35 to 39,units,Persons,19371
KN.A6,Northern Bahr el Ghazal,SS-BN,KN.B5,"Population, Male (Number)",KN.C10,40 to 44,units,Persons,13301
KN.A6,Northern Bahr el Ghazal,SS-BN,KN.B5,"Population, Male (Number)",KN.C11,45 to 49,units,Persons,12963
KN.A6,Northern Bahr el Ghazal,SS-BN,KN.B5,"Population, Male (Number)",KN.C12,50 to 54,units,Persons,9019
KN.A6,Northern Bahr el Ghazal,SS-BN,KN.B5,"Population, Male (Number)",KN.C13,55 to 59,units,Persons,6330
KN.A6,Northern Bahr el Ghazal,SS-BN,KN.B5,"Population, Male (Number)",KN.C14,60 to 64,units,Persons,5783
KN.A6,Northern Bahr el Ghazal,SS-BN,KN.B5,"Population, Male (Number)",KN.C22,65+,units,Persons,13523
KN.A6,Northern Bahr el Ghazal,SS-BN,KN.B8,"Population, Female (Number)",KN.C1,Total,units,Persons,372608
KN.A6,Northern Bahr el Ghazal,SS-BN,KN.B8,"Population, Female (Number)",KN.C2,0 to 4,units,Persons,66509
KN.A6,Northern Bahr el Ghazal,SS-BN,KN.B8,"Population, Female (Number)",KN.C3,5 to 9,units,Persons,61655
KN.A6,Northern Bahr el Ghazal,SS-BN,KN.B8,"Population, Female (Number)",KN.C4,10 to 14,units,Persons,40118
KN.A6,Northern Bahr el Ghazal,SS-BN,KN.B8,"Population, Female (Number)",KN.C5,15 to 19,units,Persons,32093
KN.A6,Northern Bahr el Ghazal,SS-BN,KN.B8,"Population, Female (Number)",KN.C6,20 to 24,units,Persons,32605
KN.A6,Northern Bahr el Ghazal,SS-BN,KN.B8,"Population, Female (Number)",KN.C7,25 to 29,units,Persons,32677
KN.A6,Northern Bahr el Ghazal,SS-BN,KN.B8,"Population, Female (Number)",KN.C8,30 to 34,units,Persons,23897
KN.A6,Northern Bahr el Ghazal,SS-BN,KN.B8,"Population, Female (Number)",KN.C9,35 to 39,units,Persons,21963
KN.A6,Northern Bahr el Ghazal,SS-BN,KN.B8,"Population, Female (Number)",KN.C10,40 to 44,units,Persons,15117
KN.A6,Northern Bahr el Ghazal,SS-BN,KN.B8,"Population, Female (Number)",KN.C11,45 to 49,units,Persons,11781
KN.A6,Northern Bahr el Ghazal,SS-BN,KN.B8,"Population, Female (Number)",KN.C12,50 to 54,units,Persons,9482
KN.A6,Northern Bahr el Ghazal,SS-BN,KN.B8,"Population, Female (Number)",KN.C13,55 to 59,units,Persons,6273
KN.A6,Northern Bahr el Ghazal,SS-BN,KN.B8,"Population, Female (Number)",KN.C14,60 to 64,units,Persons,5853
KN.A6,Northern Bahr el Ghazal,SS-BN,KN.B8,"Population, Female (Number)",KN.C22,65+,units,Persons,12585
KN.A7,Western Bahr el Ghazal,SS-BW,KN.B2,"Population, Total (Number)",KN.C1,Total,units,Persons,333431
KN.A7,Western Bahr el Ghazal,SS-BW,KN.B2,"Population, Total (Number)",KN.C2,0 to 4,units,Persons,53967
KN.A7,Western Bahr el Ghazal,SS-BW,KN.B2,"Population, Total (Number)",KN.C3,5 to 9,units,Persons,50330
KN.A7,Western Bahr el Ghazal,SS-BW,KN.B2,"Population, Total (Number)",KN.C4,10 to 14,units,Persons,37417
KN.A7,Western Bahr el Ghazal,SS-BW,KN.B2,"Population, Total (Number)",KN.C5,15 to 19,units,Persons,33702
KN.A7,Western Bahr el Ghazal,SS-BW,KN.B2,"Population, Total (Number)",KN.C6,20 to 24,units,Persons,31789
KN.A7,Western Bahr el Ghazal,SS-BW,KN.B2,"Population, Total (Number)",KN.C7,25 to 29,units,Persons,31740
KN.A7,Western Bahr el Ghazal,SS-BW,KN.B2,"Population, Total (Number)",KN.C8,30 to 34,units,Persons,23264
KN.A7,Western Bahr el Ghazal,SS-BW,KN.B2,"Population, Total (Number)",KN.C9,35 to 39,units,Persons,21213
KN.A7,Western Bahr el Ghazal,SS-BW,KN.B2,"Population, Total (Number)",KN.C10,40 to 44,units,Persons,14564
KN.A7,Western Bahr el Ghazal,SS-BW,KN.B2,"Population, Total (Number)",KN.C11,45 to 49,units,Persons,11297
KN.A7,Western Bahr el Ghazal,SS-BW,KN.B2,"Population, Total (Number)",KN.C12,50 to 54,units,Persons,7390
KN.A7,Western Bahr el Ghazal,SS-BW,KN.B2,"Population, Total (Number)",KN.C13,55 to 59,units,Persons,4813
KN.A7,Western Bahr el Ghazal,SS-BW,KN.B2,"Population, Total (Number)",KN.C14,60 to 64,units,Persons,4247
KN.A7,Western Bahr el Ghazal,SS-BW,KN.B2,"Population, Total (Number)",KN.C22,65+,units,Persons,7698
KN.A7,Western Bahr el Ghazal,SS-BW,KN.B5,"Population, Male (Number)",KN.C1,Total,units,Persons,177040
KN.A7,Western Bahr el Ghazal,SS-BW,KN.B5,"Population, Male (Number)",KN.C2,0 to 4,units,Persons,28012
KN.A7,Western Bahr el Ghazal,SS-BW,KN.B5,"Population, Male (Number)",KN.C3,5 to 9,units,Persons,26270
